1_star,2_star,3_star,4_star,5_star,book_id,review_url
509215,497431,915843,1010587,1579955,41865,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0316015849&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
48345,92920,284362,478342,562965,18619684-the-time-traveler-s-wife,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=9781939126016&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
24148,43024,126015,195268,216763,7604,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=B00IIAQY3Q&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
12127,30053,99526,170286,203413,52036,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
19929,42215,126807,191775,163915,485894,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
13440,35485,123883,221503,218637,49552,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
5599,11182,39983,64337,154910,32929,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0060775858&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
4369,10824,48927,119136,175791,14891,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0061120073&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
6955,11857,38559,73775,109601,656,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0192833987&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
2350,3171,16365,38997,75779,114345,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0060529962&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
17318,28677,99472,196134,203614,227463,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0393312836&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
9603,20597,65522,111430,122459,355697,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0449213943&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
7108,16235,65952,158080,310891,149267,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0385199570&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
10458,47095,275148,663541,1380490,15881,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0439064864&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
4319,13116,44724,60965,58227,46787,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
5376,14234,44133,59581,63818,3836,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0142437239&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
3687,2494,4413,4338,38508,646462,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
34499,30980,60436,88743,120386,662,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0452011876&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
3091,7076,26726,61480,118513,4934,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0374528373&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
22452,35759,99911,193950,271017,7244,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0060786507&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
7513,2695,2519,1976,56631,323355,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0967686563&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
39008,57869,115757,117283,119836,153747,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0142437247&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
6489,11901,49851,116406,172951,13214,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0553279378&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
5624,12404,41713,74146,79024,1078,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=1416500189&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
4676,5720,21950,55184,143443,561909,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0553256696&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
26551,50899,138718,200584,181220,2623,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0192833596&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
74569,134116,371374,608740,564059,968,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0307277674&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
15481,43754,178867,294646,303612,17245,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0393970124&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
30374,57149,182896,302171,390387,33574273-a-wrinkle-in-time,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=1250153271&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
66243,125750,434521,893312,1603633,11870085-the-fault-in-our-stars,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
5236,12114,71896,174612,277031,39988,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0141301066&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
17650,46120,170249,354250,544540,22628,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
1429,1535,7825,34103,188207,862041,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0545044251&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
20734,38622,158363,307718,356743,14935,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
31220,70897,257639,465908,469331,5129,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0060929871&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
14161,23818,97191,215392,373811,21787,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0345418263&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
8997,23805,78953,105679,105822,1371,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0140275363&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
2519,6656,35081,74684,89945,391729,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0553212281&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
7214,16418,58253,100465,133055,10365,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0375806814&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
4634,10496,43548,110485,223833,4406,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0142000655&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
3954,7989,32529,62778,148693,7784,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=0679889108&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
24770,66745,252424,419203,321807,1618,https://www.goodreads.com/api/reviews_widget_iframe?did=DEVELOPER_ID&amp;format=html&amp;isbn=1400032717&amp;links=660&amp;min_rating=&amp;review_back=fff&amp;stars=000&amp;text=000
