author_name,author_url,avg_rating,book_title,book_url,num_ratings,score,score_users
Plato,https://www.goodreads.com/author/show/879.Plato,3.93,"
The Republic
",/book/show/30289.The_Republic,"148,691","29,286",420
Ernest Hemingway,https://www.goodreads.com/author/show/1455.Ernest_Hemingway,3.80,"
A Farewell to Arms
",/book/show/10799.A_Farewell_to_Arms,"243,167","28,764",405
Helen Keller,https://www.goodreads.com/author/show/7275.Helen_Keller,4.08,"
The Story of My Life
",/book/show/821611.The_Story_of_My_Life,"122,451","28,661",415
Terry Pratchett,https://www.goodreads.com/author/show/1654.Terry_Pratchett,4.25,"
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch
",/book/show/12067.Good_Omens,"456,907","28,622",354
Bill Bryson,https://www.goodreads.com/author/show/7.Bill_Bryson,4.20,"
A Short History of Nearly Everything
",/book/show/21.A_Short_History_of_Nearly_Everything,"258,894","28,535",358
Hans Christian Andersen,https://www.goodreads.com/author/show/6378.Hans_Christian_Andersen,4.28,"
The Complete Fairy Tales
",/book/show/46306.The_Complete_Fairy_Tales,"111,739","28,456",434
John Knowles,https://www.goodreads.com/author/show/3496.John_Knowles,3.57,"
A Separate Peace
",/book/show/5148.A_Separate_Peace,"181,016","28,278",370
Kurt Vonnegut,https://www.goodreads.com/author/show/2778055.Kurt_Vonnegut,4.17,"
Cat's Cradle
",/book/show/135479.Cat_s_Cradle,"317,260","28,123",368
William Paul Young,https://www.goodreads.com/author/show/15481463.William_Paul_Young,3.76,"
The Shack
",/book/show/1812457.The_Shack,"495,819","28,121",354
Chinua Achebe,https://www.goodreads.com/author/show/8051.Chinua_Achebe,3.65,"
Things Fall Apart (The African Trilogy, #1)
",/book/show/37781.Things_Fall_Apart,"258,900","27,708",366
Gustave Flaubert,https://www.goodreads.com/author/show/1461.Gustave_Flaubert,3.66,"
Madame Bovary
",/book/show/2175.Madame_Bovary,"224,630","27,154",389
Fannie Flagg,https://www.goodreads.com/author/show/6125.Fannie_Flagg,4.27,"
Fried Green Tomatoes at the Whistle Stop Cafe
",/book/show/9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe,"251,309","27,066",381
José Saramago,https://www.goodreads.com/author/show/1285555.Jos_Saramago,4.11,"
Blindness
",/book/show/40495148-blindness,"170,569","27,004",330
Stephen Hawking,https://www.goodreads.com/author/show/1401.Stephen_Hawking,4.17,"
A Brief History of Time
",/book/show/3869.A_Brief_History_of_Time,"253,190","26,876",365
